Security,Brokerage,Built-up area,Bathrooms,Age of property,Price,School Time,School Distance,Hospital Time,Hospital Distance,Railway Time,Railway Distance,Area,City
200000.0,40000,2020.0,3.0,3.0,40000.0,2,0.7,4,3.6,15,11.1,Saraswathi Manjunatha,Mangalore
100000.0,25000,1750.0,3.0,5.0,25000.0,2,0.7,4,3.5,15,11.1,Saraswathi Manjunatha,Mangalore
150000.0,25000,1200.0,2.0,1.0,25000.0,2,0.7,3,1.6,15,11.1,Saraswathi Manjunatha,Mangalore
75000.0,15000,1000.0,2.0,12.0,15000.0,4,2.1,2,1.1,15,11.1,Gardens Block A B And C,Mangalore
150000.0,23000,1300.0,2.0,5.0,23000.0,4,2.1,2,1.1,15,11.1,Gardens Block A B And C,Mangalore
75000.0,15000,1100.0,2.0,10.0,15500.0,4,2.1,2,1.1,15,11.1,Gardens Block A B And C,Mangalore
150000.0,29000,1800.0,3.0,9.0,29000.0,4,2.1,2,1.1,15,11.1,Gardens Block A B And C,Mangalore
100000.0,22000,1300.0,2.0,5.0,22000.0,4,2.1,2,1.1,15,11.1,Gardens Block A B And C,Mangalore
75000.0,13000,1250.0,2.0,7.0,13500.0,4,2.1,2,1.1,15,11.1,Gardens Block A B And C,Mangalore
75000.0,22000,1500.0,3.0,8.0,22500.0,4,2.1,2,1.1,15,11.1,Gardens Block A B And C,Mangalore
100000.0,20000,1200.0,2.0,15.0,20000.0,4,2.1,2,1.1,15,11.1,Gardens Block A B And C,Mangalore
200000.0,42000,1625.0,3.0,1.0,42000.0,4,2.1,2,1.1,15,11.1,Gardens Block A B And C,Mangalore
50000.0,16000,1000.0,2.0,5.0,16000.0,4,2.1,2,1.1,15,11.1,Gardens Block A B And C,Mangalore
150000.0,29000,1800.0,3.0,9.0,29000.0,1,0.7,2,1.1,15,11.1,Yeyyadi,Mangalore
100000.0,22000,1300.0,2.0,5.0,22000.0,1,0.7,2,1.1,15,11.1,Yeyyadi,Mangalore
130000.0,25000,1180.0,2.0,7.0,25000.0,2,0.7,3,1.8,15,11.1,Yeyyadi,Mangalore
18000.0,18000,1525.0,2.0,17.0,18000.0,2,0.9,4,3.1,15,11.1,Yeyyadi,Mangalore
150000.0,25000,1250.0,2.0,1.0,25000.0,2,0.9,4,3.1,15,11.1,Yeyyadi,Mangalore
75000.0,0,800.0,1.0,0.0,15000.0,1,0.4,4,3.0,15,11.1,Yeyyadi,Mangalore
100000.0,25000,1300.0,2.0,8.0,25000.0,1,0.4,5,4.0,15,11.1,Yeyyadi,Mangalore
45000.0,0,700.0,1.0,0.0,15000.0,2,1.3,2,1.4,15,11.1,Attavar,Mangalore
60000.0,0,452.0,1.0,10.0,6000.0,2,1.3,2,1.4,15,11.1,Attavar,Mangalore
75000.0,17000,1150.0,2.0,8.0,17000.0,2,1.3,2,1.4,15,11.1,Attavar,Mangalore
100000.0,25000,1000.0,2.0,10.0,25000.0,2,1.3,2,1.4,15,11.1,Attavar,Mangalore
100000.0,22000,1185.0,2.0,10.0,22000.0,2,1.3,2,1.4,15,11.1,Attavar,Mangalore
35000.0,13000,650.0,1.0,15.0,13000.0,2,1.3,2,1.4,15,11.1,Attavar,Mangalore
100000.0,22000,1200.0,2.0,6.0,22000.0,2,1.3,2,1.4,15,11.1,Attavar,Mangalore
100000.0,25000,1190.0,2.0,10.0,25000.0,2,1.3,2,1.4,15,11.1,Attavar,Mangalore
40000.0,13000,550.0,1.0,12.0,13500.0,2,1.3,2,1.4,15,11.1,Attavar,Mangalore
100000.0,25000,1195.0,2.0,10.0,25000.0,2,1.3,2,1.4,15,11.1,Attavar,Mangalore
300000.0,35000,1350.0,2.0,9.0,35000.0,2,1.3,2,1.4,15,11.1,Attavar,Mangalore
100000.0,20000,1200.0,2.0,15.0,20000.0,1,0.7,3,1.8,15,11.1,Attavar,Mangalore
0.0,60000,2000.0,3.0,1.0,60000.0,1,0.7,4,2.7,15,11.1,Attavar,Mangalore
50000.0,11000,1150.0,2.0,10.0,11000.0,2,0.8,1,0.7,15,11.1,Attavar,Mangalore
180000.0,0,1300.0,3.0,0.0,35000.0,1,0.2,3,1.3,15,11.1,Attavar,Mangalore
50000.0,0,1000.0,1.0,0.0,20000.0,2,2.2,1,1.0,15,11.1,Ashraya Colony,Mangalore
100000.0,0,910.0,1.0,0.0,16000.0,1,0.4,5,4.0,15,11.1,Ashraya Colony,Mangalore
60000.0,0,1800.0,3.0,10.0,15000.0,3,1.9,9,8.6,15,11.1,Ashraya Colony,Mangalore
30000.0,0,750.0,1.0,0.0,6800.0,1,1.1,4,2.6,15,11.1,Ashraya Colony,Mangalore
75000.0,0,1500.0,2.0,6.0,14000.0,1,0.5,6,4.3,15,11.1,Ashraya Colony,Mangalore
150000.0,0,1800.0,3.0,0.0,16000.0,1,0.5,6,4.3,15,11.1,Ashraya Colony,Mangalore
50000.0,0,1200.0,1.0,2.0,20000.0,1,0.7,1,0.7,15,11.1,Ashraya Colony,Mangalore
40000.0,0,950.0,2.0,0.0,11000.0,7,6.5,2,1.0,15,11.1,Ashraya Colony,Mangalore
25000.0,0,500.0,1.0,1.0,6000.0,3,1.9,6,4.9,15,11.1,Ashraya Colony,Mangalore
100000.0,40000,1600.0,2.0,30.0,40000.0,1,0.4,2,1.2,15,11.1,Ashraya Colony,Mangalore
50000.0,10000,1200.0,2.0,10.0,10000.0,5,3.1,8,8.8,15,11.1,Ashraya Colony,Mangalore
100000.0,0,850.0,2.0,0.0,15000.0,6,6.3,8,8.7,15,11.1,Ashraya Colony,Mangalore
15000.0,0,570.0,1.0,5.0,5000.0,3,2.7,3,2.2,15,11.1,B C Road,Mangalore
200000.0,38000,1600.0,3.0,15.0,38000.0,1,0.2,3,1.3,15,11.1,S L Mathias Road,Mangalore
130000.0,30000,1230.0,2.0,8.0,30000.0,2,0.9,2,0.8,15,11.1,S L Mathias Road,Mangalore
47000.0,47108000,1035.0,3.0,1.0,33295.0,2,1.6,2,1.4,15,11.1,Bejai,Mangalore
134000.0,33796000,1036.0,2.0,12.0,26137.0,4,1.9,3,2.9,15,11.1,Derebail,Mangalore
191000.0,14859000,1037.0,1.0,3.0,25113.0,1,0.4,5,2.0,15,11.1,Derebail,Mangalore
349000.0,17945000,1039.0,3.0,9.0,50203.0,2,0.3,5,2.7,15,11.1,Bejai,Mangalore
316000.0,46107000,1040.0,2.0,10.0,48669.0,1,2.4,2,2.2,15,11.1,Derebail,Mangalore
330000.0,10779000,1568.0,2.0,11.0,40480.0,1,1.6,2,1.9,15,11.1,Bejai,Mangalore
333000.0,16414000,1058.0,2.0,14.0,21541.0,2,2.1,5,3.2,15,11.1,Bejai,Mangalore
142000.0,21555000,1572.0,2.0,11.0,36393.0,1,2.1,3,2.9,15,11.1,Derebail,Mangalore
281000.0,35384000,1092.0,3.0,1.0,52280.0,1,2.3,4,1.7,15,11.1,Bejai,Mangalore
259000.0,14396000,1098.0,2.0,3.0,47678.0,1,1.8,2,1.6,15,11.1,Bejai,Mangalore
